timestamp,ticket_id,description,recommended_ids
2025-11-02T09:56:56.108624,,Payment failed but money deducted,"[""art_3"", ""art_1"", ""art_2""]"
2025-11-02T09:57:00.705298,t_1,Payment failed but money deducted,"[""art_3""]"
2025-11-02T09:58:01.582432,,I placed an order last week but the tracking number shows invalid on the website.,"[""art_1"", ""art_3"", ""art_2""]"
2025-11-02T09:58:04.617583,t_2,I placed an order last week but the tracking number shows invalid on the website.,"[""art_1""]"
2025-11-02T09:58:25.717221,,tracking issue,"[""art_1"", ""art_3"", ""art_2""]"
2025-11-03T08:15:42.232831,,password,"[""art_3"", ""art_2"", ""art_1""]"
2025-11-03T08:51:28.062840,,password reset,"[""art_7"", ""art_11"", ""art_3""]"
2025-11-03T09:37:15.946837,,"Whenever I try to log into my account, I get an 'Invalid credentials' error even though my password is correct. I also tried resetting the password, but it still doesn’t work.","[""art_7"", ""art_16"", ""art_1""]"
2025-11-03T09:37:19.676526,t_1,"Whenever I try to log into my account, I get an 'Invalid credentials' error even though my password is correct. I also tried resetting the password, but it still doesn’t work.","[""art_7""]"
2025-11-03T10:27:04.889970,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_16"", ""art_6"", ""art_8""]"
2025-11-03T10:27:20.706544,t_2,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_16""]"
2025-11-03T10:29:14.030682,,"I made a payment for a pair of shoes via UPI, and the amount was deducted from my account. However, the order still shows as pending and I haven’t received any confirmation email yet.","[""art_15"", ""art_18"", ""art_12""]"
2025-11-03T10:29:16.929998,t_2,"I made a payment for a pair of shoes via UPI, and the amount was deducted from my account. However, the order still shows as pending and I haven’t received any confirmation email yet.","[""art_11""]"
2025-11-03T10:39:18.645509,,"I made a payment for a pair of shoes via UPI, and the amount was deducted from my account. However, the order still shows as pending and I haven’t received any confirmation email yet.","[""art_15"", ""art_12"", ""art_18""]"
2025-11-03T10:39:58.636983,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_6"", ""art_16"", ""art_8""]"
2025-11-03T10:43:56.988685,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_16"", ""art_6"", ""art_13""]"
2025-11-03T10:45:22.503282,,order is place d amount is deduced but the prosuct,"[""art_4"", ""art_3"", ""art_16""]"
2025-11-03T10:45:47.288259,,refund beacause the product received is damaged,"[""art_16"", ""art_8"", ""art_15""]"
2025-11-03T10:47:30.473535,,the product received is damaged what to do...,"[""art_15"", ""art_3"", ""art_5""]"
2025-11-03T10:47:42.630457,,the product received is damaged i want replacement,"[""art_15"", ""art_5"", ""art_3""]"
2025-11-03T10:47:47.832670,,the product received is damaged i want replacement or refund,"[""art_5"", ""art_15"", ""art_3""]"
2025-11-03T10:48:20.658842,,money is deduced ,"[""art_4"", ""art_16"", ""art_3""]"
2025-11-03T10:48:26.009768,,money is deduced but the order is not placed ,"[""art_3"", ""art_4"", ""art_12""]"
2025-11-03T10:49:14.691900,,i placed ,"[""art_16"", ""art_4"", ""art_10""]"
2025-11-03T10:49:25.799130,,i placed the product 2 weeks ago but didnt received it yet,"[""art_12"", ""art_15"", ""art_16""]"
2025-11-03T10:49:31.303214,,i placed the product 2 weeks ago but didt received it yet,"[""art_16"", ""art_12"", ""art_15""]"
2025-11-03T10:49:32.206497,,"i placed the product 2 weeks ago but did,t received it yet","[""art_16"", ""art_15"", ""art_12""]"
2025-11-03T10:49:35.758626,,"i placed the product 2 weeks ago but did,t received it yen","[""art_16"", ""art_15"", ""art_12""]"
2025-11-03T10:49:37.907805,,"i placed the product 2 weeks ago but did,t received it yen,","[""art_16"", ""art_12"", ""art_15""]"
2025-11-03T10:49:38.757262,,"i placed the product 2 weeks ago but did,t received it yen","[""art_16"", ""art_15"", ""art_12""]"
2025-11-03T10:49:41.156977,,"i placed the product 2 weeks ago but din,t received it yen","[""art_15"", ""art_16"", ""art_12""]"
2025-11-03T10:49:42.174987,,"i placed the product 2 weeks ago but din',t received it yen","[""art_15"", ""art_12"", ""art_16""]"
2025-11-03T10:49:43.641690,,i placed the product 2 weeks ago but din't received it yen,"[""art_16"", ""art_12"", ""art_15""]"
2025-11-03T10:49:47.293737,,i placed the product 2 weeks ago but din't received it yet,"[""art_16"", ""art_15"", ""art_12""]"
2025-11-03T10:54:16.975404,,i placed ,"[""art_11"", ""art_8"", ""art_4""]"
2025-11-03T10:54:19.632790,,i placed the order ,"[""art_3"", ""art_9"", ""art_4""]"
2025-11-03T10:54:27.192995,,i placed the order 3 days ago but haven,"[""art_3"", ""art_4"", ""art_1""]"
2025-11-03T10:54:32.292953,,i placed the order 3 days ago but haven't received the order ,"[""art_3"", ""art_4"", ""art_9""]"
2025-11-03T10:54:34.158260,,i placed the order 3 days ago but haven't received the order yet,"[""art_3"", ""art_1"", ""art_4""]"
2025-11-03T10:55:04.968752,,i received an damaged product i ,"[""art_15"", ""art_10"", ""art_5""]"
2025-11-03T10:55:13.612877,,i received an damaged product i want replacement,"[""art_15"", ""art_5"", ""art_10""]"
2025-11-03T10:55:16.807722,,i received an damaged product i want replacement or r,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T10:55:17.973351,,i received an damaged product i want replacement or re,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T10:55:20.298350,,i received an damaged product i want replacement or refund ,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T10:55:27.863815,,i received an damaged product i want replacement or refund for the product ,"[""art_5"", ""art_15"", ""art_10""]"
2025-11-03T11:02:29.675845,,"I placed an order two weeks ago, but the product hasn’t been delivered yet. The tracking link shows no updates. Can you please check the status?","[""art_9"", ""art_1"", ""art_4""]"
2025-11-03T11:02:57.047361,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_3"", ""art_10"", ""art_9""]"
2025-11-03T11:03:21.000767,,"My payment was deducted from my bank account, but the order isn’t showing in my purchase history. Please confirm if it went through or needs to be retried.","[""art_3"", ""art_1"", ""art_10""]"
2025-11-03T11:04:01.291165,,I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_10"", ""art_3"", ""art_15""]"
2025-11-03T11:06:21.193950,,I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange,"[""art_10"", ""art_3"", ""art_19""]"
2025-11-03T11:06:44.589999,, I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_10"", ""art_3"", ""art_19""]"
2025-11-03T11:08:00.352262,,I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_10"", ""art_3"", ""art_19""]"
2025-11-03T11:17:25.476248,, I received a completely different product from what I ordered. I had ordered a red backpack but received a blue one instead. Please arrange for an exchange.,"[""art_19"", ""art_15"", ""art_5""]"
2025-11-03T11:18:03.421654,,"My payment was deducted from my bank account, but the order isn’t showing in my purchase history. Please confirm if it went through or needs to be retried.","[""art_2"", ""art_3"", ""art_14""]"
2025-11-03T11:18:29.202362,,"I ordered wireless earbuds last week, but one side isn’t working and the charging case has scratches. Please guide me on how to return or replace the product.","[""art_19"", ""art_15"", ""art_3""]"
2025-11-03T11:18:56.886925,,"I placed an order two weeks ago, but the product hasn’t been delivered yet. The tracking link shows no updates. Can you please check the status?","[""art_9"", ""art_10"", ""art_1""]"
